Confirmed Category,Obesity,Meat,Fruits - Excluding Wine,"Fish, Seafood",Animal Products,Vegetal Products
Sangat Tidak Banyak,10.618750000000004,9.259621212121212,0.7215212121212121,0.964778787878788,16.326836363636364,33.67283333333334
Tidak Banyak,16.584374999999998,8.589765625,0.42130312500000006,0.8837156250000002,18.621153125,31.379199999999997
Sedang,18.84375,8.899756249999998,0.5266812499999999,0.7189375,21.226190625000005,28.77511875000001
Cukup Banyak,22.493750000000002,9.619678125,0.5001249999999999,0.6172312500000001,23.450781249999995,26.549012499999996
Sangat Banyak,23.921875,10.469912500000003,0.578425,0.8469906250000001,24.23364687500001,25.766234374999993
